# HBS_C8_ATTRACTOR_MODEL.csv — Section 1: Attractor Properties
attractor_id,name,class,trigger_formal,tti_min,tti_max,stable_pct,transition_pct,collapse_pct,saturate_pct,ovf_rate,accum_entropy_bits,amplification_factor,attractor_type,recovery_latency_cycles,x_exponent_pressure,y_cancellation_pressure
A1,"Cancellation Residual Absorption",CLASS_B,"op=SUB ∧ E_a = E_b ∧ Δf < 8",2,5,100.0,0.0,0.0,0.0,0.0,3.420,63.6,ABSORBING,0,0.05,0.92
A2,"Geometric Exponent Explosion",CLASS_D,"op=MUL ∧ E_factor > 32 ∧ chain_depth ≥ 1",16,31,37.0,12.0,0.0,51.0,3.0,3.870,1.0,TRANSIENT,0,0.90,0.05
A3,"Thoth Rollover Boundary Oscillation",CLASS_C,"op=ADD ∧ E ∈ {15, 47} ∧ f_sum ≥ 64",0,0,0.0,25.0,25.0,50.0,0.0,0.045,N/A,OSCILLATORY,0,0.65,0.10
A4,"Entropic Regime Interference",MIXED,"P(E<16)>0 ∧ P(E>47)>0 ∧ P(16≤E≤43)>0 in same epoch",4,10,40.0,0.0,30.0,30.0,0.0,2.910,N/A,QUASI-PERIODIC,0,0.50,0.28

# HBS_C8_ATTRACTOR_MODEL.csv — Section 2: Interaction Matrix (from,to,code,evidence)
from,to,interaction_code,evidence
A1,A1,-,"self"
A1,A2,I,"No CLASS_B+D composition tested; operate in disjoint E-pressure zones"
A1,A3,S,"C4 routes CLASS_C with accum_en=0; A3 prevents A1 accumulator contamination"
A1,A4,I,"R4 uses ADD, not SUB — A1 trigger condition not met in R4"
A2,A1,I,"Symmetric; exponent drift chain does not induce cancellation"
A2,A2,-,"self"
A2,A3,T,"A2 drift chain traverses E=47 boundary (12% TRANSITION, C7-R2); A3 zone transient"
A2,A4,I,"R4 SAT-edge injection mimics A2 endpoint state but lacks feedback chain"
A3,A1,S,"Symmetric; A3 routing isolation suppresses A1 (no accum contribution)"
A3,A2,T,"Symmetric; A3 boundary is the transit endpoint of A2 explosion"
A3,A3,-,"self"
A3,A4,P,"R4 COLLAPSE-edge and SAT-edge injections activate boundary-adjacent states; weak A3 dynamics"
A4,A1,I,"Symmetric"
A4,A2,I,"Symmetric"
A4,A3,P,"Symmetric; partial boundary injection in R4"
A4,A4,-,"self"

# HBS_C8_ATTRACTOR_MODEL.csv — Section 3: Phase-Space Singularities
singularity_id,name,x_center,y_center,risk,description
S1,"Composite Explosion Zone",0.80,0.75,CRITICAL (unobserved, inferred from A1+A2 disjoint triggers),"HIGH exponent drift + HIGH cancellation. Theoretical; not directly tested in C7. Would require CLASS_D workload with embedded CLASS_B cancellation."
S2,"Boundary-Drift Intersection",0.72,0.15,MEDIUM (transient; accum isolated by routing during transit),"A2 traverses A3 zone at E=47 during drift run. Confirmed from C7-R2 (12% TRANSITION occupancy = 24 cycles in A3 zone during 200-cycle stress)."
